hotel_name,location,features,ratings,reviews,review_title,room_style,price,tax_charges,city,duration,persons,cancellation_policy,pre_payment,breakfast_included,Beds,Rooms
Sharayu One,Mapusa,Deluxe Double or Twin Room1 large double bedBreakfast includedFree cancellationNo prepayment needed – pay at the property,6.9,92.0,Good,Deluxe Double or Twin Room,18900.0,"3 nights, 2 adults",Goa,3,2,Yes,No,Yes,1 large double bed,2 bedroomsss
Aiden by best Western Vagator Goa,Goa Velha,Deluxe King Room1 extra-large double bedBreakfast includedFree cancellationOnly 2 rooms left at this price on our site,9.2,18.0,Superb,Deluxe King Room,45600.0,"3 nights, 2 adults",Goa,3,2,Yes,Yes,Yes,1 extra-large double bed,King Room
WTF My House,"Baga Beach, Baga",Standard Double Room1 double bedOnly 4 rooms left at this price on our site,8.6,250.0,Fabulous,Standard Double Room,50000.0,"3 nights, 2 adults",Goa,3,2,No,Yes,No,1 double bed,2 bedroomsss
Motel La Grandeur,Mapusa,Standard Double Room1 double bedFree cancellationNo prepayment needed – pay at the propertyOnly 1 room left at this price on our site,5.6,87.0,Good,Standard Double Room,17570.0,"3 nights, 2 adults",Goa,3,2,Yes,No,No,1 double bed,2 bedroomsss
"Sandbanks Beach Villas, Morjim","Morjim Beach, Morjim",King Room1 extra-large double bedOnly 3 rooms left at this price on our site,9.1,107.0,Superb,King Room,40109.0,"3 nights, 2 adults",Goa,3,2,No,Yes,No,1 extra-large double bed,King Room
Saiadit homes,Guirim,Double Room with Garden View1 large double bedFree cancellationNo prepayment needed – pay at the property,9.0,4.0,Superb,Double Room with Garden View,17300.0,"3 nights, 2 adults",Goa,3,2,Yes,No,No,1 large double bed,2 bedroomsss
Spacious Lakeview apartment by tig Calangute 11,Calangute,"Double Room10 beds (2 singles, 4 doubles, 2 extra-large doubles, 2 large doubles)Breakfast includedFree cancellationNo prepayment needed – pay at the propertyOnly 2 rooms left at this price on our site",10.0,3.0,Exceptional,Double Room,12297.0,"3 nights, 2 adults",Goa,3,2,Yes,No,Yes,,2 bedroomsss
Samundra at Candolim GOA,Marmagao,Family Room1 double bedFree cancellationNo prepayment needed – pay at the propertyOnly 3 rooms left at this price on our site,5.6,42.0,Good,Family Room,15999.0,"3 nights, 2 adults",Goa,3,2,Yes,No,No,1 double bed,Family Room
Mariners Bay Beach Resort,"Arambol beach, Arambol",Wooden Cottage with PatioEntire bungalow • 1 bedroom • 1 bathroom • 30m²1 double bedFree cancellationOnly 3 left at this price on our site,7.1,76.0,Good,Wooden Cottage with Patio,29160.0,"3 nights, 2 adults",Goa,3,2,Yes,Yes,No,1 double bed,1 bedroom
Antarim Resort,Candolim,Executive RoomBeds: 1 double or 2 singlesBreakfast includedFree cancellationNo prepayment needed – pay at the property,10.0,6.0,Exceptional,Executive Room,77299.0,"3 nights, 2 adults",Goa,3,2,Yes,No,Yes,Beds: 1 double or 2 singles,Executive Room
Agonda Paradise,Agonda,Double Room with Garden View1 extra-large double bedOnly 6 rooms left at this price on our site,8.2,195.0,Very good,Double Room with Garden View,22497.0,"3 nights, 2 adults",Goa,3,2,No,Yes,No,1 extra-large double bed,2 bedroomsss
Wigwam,Mandrem,TentTent1 extra-large double bedOnly 6 left at this price on our site,8.2,60.0,Very good,Tent,22140.0,"3 nights, 2 adults",Goa,3,2,No,Yes,No,1 extra-large double bed,
Sterling Goa Varca,"Varca Beach, Varca",Classic Room1 large double bedBreakfast includedOnly 1 room left at this price on our site,7.0,115.0,Good,Classic Room,47520.0,"3 nights, 2 adults",Goa,3,2,No,Yes,Yes,1 large double bed,
Casa Anjuna,"Anjuna Beach, Anjuna",Casa Favourite Room1 large double bedBreakfast includedFree cancellation,8.0,262.0,Very good,Casa Favourite Room,67500.0,"3 nights, 2 adults",Goa,3,2,Yes,Yes,Yes,1 large double bed,
Studio Apartment by Leela Homes,Arpora,Studio ApartmentEntire apartment • 1 bedroom • 1 living room • 1 bathroom • 1 kitchen • 20m²1 extra-large double bedFree cancellationOnly 1 left at this price on our site,8.3,25.0,Very good,Studio Apartment,23000.0,"3 nights, 2 adults",Goa,3,2,Yes,Yes,No,1 extra-large double bed,1 bedroom
Haldankar Guest House,Bardez,Triple Room with Private Bathroom3 single bedsFree cancellationNo prepayment needed – pay at the propertyOnly 2 rooms left at this price on our site,,,,Triple Room with Private Bathroom,7200.0,"3 nights, 2 adults",Goa,3,2,Yes,No,No,,3 bedrooms
Casa Obrigado Beach Cottages & Spa,"Arambol beach, Arambol",Double Room with Pool View1 double bedBreakfast includedOnly 2 rooms left at this price on our site,7.2,97.0,Good,Double Room with Pool View,34556.0,"3 nights, 2 adults",Goa,3,2,No,Yes,Yes,1 double bed,2 bedroomsss
The Center Court Goa - Veg Resort,"Varca Beach, Varca",Superior King Room2 large double bedsFree cancellation,7.6,116.0,Good,Superior King Room,35000.0,"3 nights, 2 adults",Goa,3,2,Yes,Yes,No,,King Room
La La Land Resort Goa by Spicy Mango,Palolem,"Suprimo Chalet Non ACEntire chalet • 1 bedroom • 1 bathroom • 37m²2 beds (1 large double, 1 futon)Free cancellationOnly 2 left at this price on our site",7.0,112.0,Good,Suprimo Chalet Non AC,42776.0,"3 nights, 2 adults",Goa,3,2,Yes,Yes,No,,1 bedroom
Joystreet - Beachy Blossom,Siolim,"Three-Bedroom VillaEntire villa • 3 bedrooms • 1 living room • 4 bathrooms • 1 kitchen • 3,100m²3 double bedsFree cancellationOnly 1 left at this price on our site",9.6,41.0,Exceptional,Three-Bedroom Villa,119997.0,"3 nights, 2 adults",Goa,3,2,Yes,Yes,No,,3 bedrooms
